Matrix,Kernel,GPUs,Total Time (s),Comm Time (s),Comp Time (s),GFLOPS,BW (GB/s),Speedup,Efficiency
bcsstk16,cuda-SpMV-COO-multi,4,2.871508e-05,1.086464e-03,2.849696e-05,20.2248,122.7093,1.42,0.35
bcsstk16,cuda-SpMV-CSR-Vector-multi,1,1.870309e-05,0.000000e+00,1.824288e-05,31.0513,127.3392,1.0,1.0
bcsstk16,cuda-SpMV-CSR-Vector-multi,2,1.840618e-05,8.867840e-04,1.804096e-05,31.5522,129.3933,1.02,0.51
bcsstk16,cuda-SpMV-CSR-Vector-multi,4,1.697886e-05,1.083392e-03,1.676576e-05,34.2047,140.2707,1.1,0.28
bcsstk16,cuda-SpMV-CSR-multi,1,3.037143e-05,0.000000e+00,2.987584e-05,19.1218,78.417,1.0,1.0
bcsstk16,cuda-SpMV-CSR-multi,2,3.154180e-05,8.949760e-04,3.115520e-05,18.4123,75.5073,0.96,0.48
bcsstk16,cuda-SpMV-CSR-multi,4,3.095774e-05,1.072128e-03,3.073600e-05,18.7596,76.9318,0.98,0.25
bcsstk16,cuda-SpMV-cuSparse-multi,1,6.433829e-05,0.000000e+00,6.422464e-05,9.0266,37.0174,1.0,1.0
bcsstk16,cuda-SpMV-cuSparse-multi,2,7.786393e-05,9.011200e-04,7.774080e-05,7.4586,30.5872,0.83,0.41
bcsstk16,cuda-SpMV-cuSparse-multi,4,8.602968e-05,1.054720e-03,8.590016e-05,6.7506,27.6839,0.75,0.19
bcsstk17,SpMV-baseline,1,1.379953e-04,0.000000e+00,1.379953e-04,3.1858,19.751,1.0,1.0
bcsstk17,SpMV-baseline,2,1.419447e-04,0.000000e+00,1.419447e-04,3.0971,19.2014,0.97,0.49
bcsstk17,SpMV-baseline,4,1.406992e-04,0.000000e+00,1.406992e-04,3.1246,19.3714,0.98,0.25
bcsstk17,cuda-SpMV-COO-multi,1,3.864650e-05,0.000000e+00,3.830112e-05,22.1831,135.3704,1.0,1.0
bcsstk17,cuda-SpMV-COO-multi,2,3.482054e-05,9.205760e-04,3.434560e-05,24.6205,150.2444,1.11,0.55
bcsstk17,cuda-SpMV-COO-multi,4,2.919365e-05,1.096704e-03,2.891616e-05,29.366,179.2031,1.32,0.33
bcsstk17,cuda-SpMV-CSR-Vector-multi,1,1.928874e-05,0.000000e+00,1.894816e-05,44.4456,184.6099,1.0,1.0
bcsstk17,cuda-SpMV-CSR-Vector-multi,2,2.000452e-05,8.949760e-04,1.952000e-05,42.8553,178.0044,0.96,0.48
bcsstk17,cuda-SpMV-CSR-Vector-multi,4,1.760699e-05,1.190912e-03,1.732960e-05,48.6909,202.243,1.1,0.27
bcsstk17,cuda-SpMV-CSR-multi,1,3.117020e-05,0.000000e+00,3.080000e-05,27.5038,114.2403,1.0,1.0
bcsstk17,cuda-SpMV-CSR-multi,2,3.198786e-05,8.898560e-04,3.150720e-05,26.8008,111.3201,0.97,0.49
bcsstk17,cuda-SpMV-CSR-multi,4,3.155597e-05,1.175552e-03,3.122336e-05,27.1676,112.8437,0.99,0.25
bcsstk17,cuda-SpMV-cuSparse-multi,1,6.426778e-05,0.000000e+00,6.415104e-05,13.3395,55.4071,1.0,1.0
bcsstk17,cuda-SpMV-cuSparse-multi,2,7.956771e-05,8.734720e-04,7.943744e-05,10.7745,44.753,0.81,0.4
bcsstk17,cuda-SpMV-cuSparse-multi,4,8.280369e-05,1.181696e-03,8.265248e-05,10.3534,43.004,0.78,0.19
